source_id,title,institution,date,url,tier,notes
S01,Fare Policy (official fare schedule for all Punjab Masstransit Authority systems),Punjab Masstransit Authority,n.d. (accessed 2026-08-22),https://pma.punjab.gov.pk/fare-policy,Primary,"Directly fetched this session. Confirms Lahore Metro Bus fare Rs30/trip; Multan Metrobus fare Rs25/trip; OLMT-Metrobus transfer fares Rs25-45 by distance. Only primary-source direct fetch completed this session."
S02,Exposing the Metro Bus Scheme,Pakistan Institute of Development Economics (PIDE),n.d. (appears c.2016-18 based on cited figures),https://pide.org.pk/blog/exposing-the-metro-bus-scheme/,Primary,"Think-tank research source. Islamabad Metro Bus cost ~Rs46bn, 80000/day actual vs 150000/day target ridership (2016), combined three-city subsidy ~Rs7-8bn in that period, Pakistan Metrobus system 65% costlier than international benchmark, needs Rs71bn through 2035. NOT directly fetched — pide.org.pk returned HTTP 403 to this session's fetch tools in prior episode research (ep11); relied on WebSearch synthesis. Direct fetch should be attempted again before scripting."
S03,AGP reports over payments in Lahore Metro Bus project,Express Tribune,n.d.,https://tribune.com.pk/story/1309164/worth-millions-agp-reports-payments-lahore-metro-bus-project,Tier-1 journalism,"Rs318.68 million overpayments found by Auditor-General during Lahore Metro Bus construction. Via WebSearch synthesis, not directly opened."
S04,OLMT's revenue shortfall soars,Express Tribune,n.d.,https://tribune.com.pk/story/2282693/olmts-revenue-shortfall-soars,Tier-1 journalism,"Break-even fare Rs171/passenger (OLMT) vs Rs65 (Metro Bus); fare revenue covers ~24% of OLMT operating costs. Via WebSearch synthesis."
S05,Punjab govt to bear Rs193b subsidy on OLMT in 20 years,Express Tribune,n.d.,https://tribune.com.pk/story/2163466/punjab-govt-bear-rs193b-subsidy-olmt-20-years,Tier-1 journalism,"20-year subsidy projection for OLMT. Via WebSearch synthesis."
S06,CDA increases electric bus fares from Rs50 to Rs100 per ride for Islamabad commuters,Profit by Pakistan Today,2025-06-02,https://profit.pakistantoday.com.pk/2025/06/02/cda-increases-electric-bus-fares-from-rs50-to-rs100-per-ride-for-islamabad-commuters/,Tier-1 journalism,"CDA annual expense Rs5.12bn vs revenue Rs1.46bn at Rs50 fare = Rs3.66bn subsidy. Via WebSearch synthesis."
S07,CDA rolls back Metro Bus fare hike after Prime Minister's intervention,Profit by Pakistan Today,2025-06-05,https://profit.pakistantoday.com.pk/2025/06/05/cda-rolls-back-metro-bus-fare-hike-after-prime-ministers-intervention/,Tier-1 journalism,"Confirms fare hike to Rs100 was reversed; fare restored to Rs50. Via WebSearch synthesis."
S08,CDA Announces 100% Increase in Ticket Prices of Metro and Electric Buses in Islamabad,ProPakistani,2025-06-01,https://propakistani.pk/2025/06/01/cda-announces-100-increase-in-ticket-prices-of-metro-and-electric-buses-in-islamabad/,Tier-1 journalism,"Original fare-hike announcement, corroborates C020. Via WebSearch synthesis."
S09,SC says Peshawar BRT cost rose 17%,Express Tribune,n.d.,https://tribune.com.pk/story/2178309/sc-says-peshawar-brt-cost-rose-17,Tier-1 journalism (reporting on a primary court finding),"Supreme Court cost-overrun finding — baseline year unclear, flagged UNRESOLVED (C025). Via WebSearch synthesis."
S10,Peshawar bus project cost goes up to Rs70.7 billion,Dawn,n.d. (c. Feb 2020),https://www.dawn.com/news/1535774,Tier-1 journalism,"Cost-escalation timeline for Peshawar BRT: Rs49.453bn (2017 PC-1) to Rs70.7bn. Via WebSearch synthesis."
S11,Peshawar bus project's cost surges to Rs71 billion,Dawn,n.d. (c. Sept 2019),https://www.dawn.com/news/1503932,Tier-1 journalism,"Intermediate cost-escalation data point for Peshawar BRT. Via WebSearch synthesis."
S12,Increase in BRT Peshawar fare on cards to 'cut billions of rupees' loss',The News,n.d.,https://www.thenews.com.pk/latest/1178621-increase-in-brt-peshawar-fare-on-cards-to-cut-billions-of-rupees-loss,Tier-1 journalism,"Peshawar BRT fare Rs28, cost Rs80/passenger, subsidy Rs50/passenger. Via WebSearch synthesis."
S13,Sindh allocates Rs1bn to continue subsidy on Green bus fares,Dawn,2025-03 (approx.),https://www.dawn.com/news/1896926,Tier-1 journalism,"Rs1bn Sindh allocation to hold Green Line fare for 4 months (March-June 2025). Via WebSearch synthesis."
S14,Karachi Green Line will become operational from Dec 25: Umar,Express Tribune,n.d. (Dec 2021),https://tribune.com.pk/story/2331479/karachi-green-line-will-become-operational-from-dec-25-umar,Tier-1 journalism,"Green Line commercial operations start date. Via WebSearch synthesis."
S15,Farebox Recovery Ratio,TransitWiki (transit-industry reference),n.d.,https://www.transitwiki.org/TransitWiki/index.php/Farebox_Recovery_Ratio,Secondary (industry reference),"International farebox recovery benchmarks — US, North America, Europe, Canada, Asia. Used for the counterargument section. Via WebSearch synthesis."
S16,The Mass Transit Fiscal Cliff: Estimating the Size and Scope of the Problem,Eno Center for Transportation,n.d.,https://enotrans.org/article/the-mass-transit-fiscal-cliff-estimating-the-size-and-scope-of-the-problem/,Secondary (transportation policy think tank),"US farebox recovery context (16% national average, 2024). Via WebSearch synthesis."
S17,Lahore Metrobus,Wikipedia,n.d.,https://en.wikipedia.org/wiki/Lahore_Metrobus,Secondary,"General reference for opening date and ridership — used for orientation only, not for any disputed figure. Via WebSearch synthesis."
S18,Rawalpindi-Islamabad Metrobus,Wikipedia,n.d.,https://en.wikipedia.org/wiki/Rawalpindi-Islamabad_Metrobus,Secondary,"General reference for opening date. Via WebSearch synthesis."
S19,TransPeshawar,Wikipedia,n.d.,https://en.wikipedia.org/wiki/TransPeshawar,Secondary,"General reference for Peshawar BRT inauguration date. Via WebSearch synthesis."
S20,"An X (Twitter) post from an AI chatbot account (""Grok"") citing OLMT capital cost of ~Rs162 billion",X/Twitter (AI-generated content),n.d.,https://x.com/grok/status/2032052308062687585,DISCARDED — not a valid source,"Discarded per research.md source hierarchy — an AI chatbot's social media post is not a valid source under any tier, regardless of how specific the figure looks. Do not cite. Logged here only so a future research pass doesn't re-surface and use it by mistake."
