source_id,title,institution,date,url,tier,notes
S01,Branchless Banking Regulations (Revised on December 30 2019),State Bank of Pakistan (BPRD),2019-12-30,https://www.sbp.org.pk/bprd/2019/C10-Branchless-Banking-Regulations.pdf,Primary,"Full text read directly (fetched as PDF, all pages parsed). Master BB regulatory document. Confirmed the quarterly schedule-of-charges/anti-mid-quarter-increase rule (S9.1b) and confirmed there is NO explicit blanket free-cash-in clause anywhere in the document."
S02,Payment Systems Quarterly Review Q3 FY26 (Jan-Mar 2026),State Bank of Pakistan (PSD),2026-06,https://www.sbp.org.pk/psd/pdf/PS-Review-Q3FY26.pdf,Primary,"Direct WebFetch and curl both returned HTTP 403 (site blocks this session's fetch path). All figures used from this document are via WebSearch/Firecrawl-search synthesis of press coverage of the report, not a direct document read -- flagged REPORTED not VERIFIED throughout. ACCESS BLOCKED for future re-verification."
S03,Branchless Banking Statistics for the Quarter Jul-Sep 2025,State Bank of Pakistan (ACD),2025-Q3,https://www.sbp.org.pk/acd/branchless/Stats/,Primary,"Direct SBP fetch blocked (403). Figures obtained via a Scribd-hosted mirror surfaced by Firecrawl search (search-snippet only, not a full document read). Classify agent/account figures REPORTED, not VERIFIED; ACCESS BLOCKED for the primary."
S04,Branchless Banking Statistics for the Quarter Apr-Jun 2025,State Bank of Pakistan (ACD),2025-Q2,https://www.sbp.org.pk/assets/document/publications/Branchless_Banking_Statistics_for_Apr_-_Jun_2025.pdf,Primary,"Direct fetch blocked (403, both WebFetch and curl via proxy). Only referenced for comparison figures already captured via S03's snippet. ACCESS BLOCKED."
S05,Branchless Banking Statistics for Apr-Jun 2024 (mirrored),State Bank of Pakistan (ACD) via CollegeSidekick mirror,2024-Q2,https://www.collegesidekick.com/study-docs/28297807,Secondary,"Secondary mirror of a primary SBP document; not independently cross-checked against the SBP original (which is also fetch-blocked). Used only as an older trend data-point (~666-757k agents growth path), not as a headline figure."
S06,Karandaaz Financial Inclusion Survey (K-FIS) 2024 -- findings as reported,Karandaaz Pakistan,2024 (released ~June 2025),https://www.karandaaz.com.pk/research/publications/karandaaz-financial-inclusion-survey,Secondary,"The primary Karandaaz report/narrative deck was not independently opened in this pass; all figures used are cross-corroborated across 4+ independent press outlets (Dawn, Profit, Tribune, Voicepk, Brandsynario) reporting the same survey, which is why these are classed REPORTED rather than VERIFIED. Recommend a human open the primary Karandaaz PDF before scripting."
S07,Dawn.com -- ""Stark gender gap in financial inclusion",Dawn Business,2025,https://www.dawn.com/news/1917762,Tier-1 journalism,Cross-corroborating coverage of Karandaaz K-FIS 2024 gender-gap figures; consulted via search snippet.
S08,Profit by Pakistan Today -- ""Only 14% of women in Pakistan have access to financial services",Profit by Pakistan Today,2025-06-18,https://profit.pakistantoday.com.pk/2025/06/18/only-14-of-women-in-pakistan-have-access-to-financial-services-reveals-survey/,Tier-1 journalism,Cross-corroborating coverage of Karandaaz K-FIS 2024; consulted via search snippet.
S09,The Express Tribune -- "Financial inclusion surges, gaps persist",The Express Tribune,2025,https://tribune.com.pk/story/2551555/financial-inclusion-surges-gaps-persist,Tier-1 journalism,Cross-corroborating coverage of Karandaaz K-FIS 2024; consulted via search snippet.
S10,Brandsynario -- "Karandaaz Releases K-FIS 2024 Survey Findings",Brandsynario,2025,https://www.brandsynario.com/karandaaz-releases-k-fis-2024-survey-findings-reflecting-a-decade-of-financial-inclusion-trends-in-pakistan/,Secondary,Cross-corroborating coverage of Karandaaz K-FIS 2024; consulted via search snippet.
