claim_id,claim_text,classification,source,url,verified
C001,"Total registered branchless banking (BB) agents nationwide, Jul-Sep 2025 quarter: 757,727",REPORTED,"SBP Branchless Banking Statistics Jul-Sep 2025 (via Scribd mirror; search-snippet only, not a full document read)",https://www.scribd.com/document/1036662531/Branchless-Banking-Statistics-for-Jul-to-Sep-2025,partial
C002,"Active BB agents, Jul-Sep 2025 quarter: 239,034 (down from 271,080 in Apr-Jun 2025)",REPORTED,"SBP Branchless Banking Statistics Jul-Sep 2025 (via Scribd mirror; search-snippet only)",https://www.scribd.com/document/1036662531/Branchless-Banking-Statistics-for-Jul-to-Sep-2025,partial
C003,"Total BB accounts (m-wallets), Jul-Sep 2025 quarter: 141,560,617 (up from 135,876,186 in Apr-Jun 2025)",REPORTED,"SBP Branchless Banking Statistics Jul-Sep 2025 (via Scribd mirror; search-snippet only)",https://www.scribd.com/document/1036662531/Branchless-Banking-Statistics-for-Jul-to-Sep-2025,partial
C004,"Retail payments (all formal channels) reached 3.7 billion transactions worth Rs168.8 trillion in Q3 FY26 (Jan-Mar 2026), +9% QoQ by volume",REPORTED,"SBP Payment Systems Quarterly Review Q3 FY26 (via search synthesis; direct PDF fetch blocked 403)",https://www.sbp.org.pk/psd/pdf/PS-Review-Q3FY26.pdf,partial
C005,"49% of all bank/wallet accounts are linked to a mobile banking app or digital wallet, as of Q3 FY26",REPORTED,"SBP Payment Systems Quarterly Review Q3 FY26 (search synthesis)",https://www.sbp.org.pk/psd/pdf/PS-Review-Q3FY26.pdf,partial
C006,"Branchless banking mobile app users reached 95.8 million by March 2026",REPORTED,"The Express Tribune, ""Electronic payments reach 3.7b transactions""",https://tribune.com.pk/story/2615321/electronic-payments-reach-37b-transactions,partial
C007,"Branchless banking agents facilitated approximately 155 million transactions worth Rs1.1 trillion in Q3 FY26, while branchless banking players (wallet-to-wallet etc.) processed 128 million transactions worth Rs99.5 trillion in the same quarter",REPORTED,"SBP Payment Systems Quarterly Review Q3 FY26 (search synthesis)",https://www.sbp.org.pk/psd/pdf/PS-Review-Q3FY26.pdf,partial
C008,"Raast instant payment system processed 742.1 million transactions worth Rs23.3 trillion in Q3 FY26",REPORTED,"SBP Payment Systems Quarterly Review Q3 FY26 (search synthesis)",https://www.sbp.org.pk/psd/pdf/PS-Review-Q3FY26.pdf,partial
C009,"Raast P2P transactions rose to 664 million (+10% QoQ), worth Rs18.9 trillion, in Q3 FY26",REPORTED,"SBP Payment Systems Quarterly Review Q3 FY26 (search synthesis)",https://www.sbp.org.pk/psd/pdf/PS-Review-Q3FY26.pdf,partial
C010,"Raast Person-to-Merchant (P2M) transactions grew from 36.3 million to 55.9 million in a single quarter (Q3 FY26); over 2.6 million merchants onboarded/registered an alias by quarter-end",REPORTED,"SBP Payment Systems Quarterly Review Q3 FY26 (search synthesis)",https://www.sbp.org.pk/psd/pdf/PS-Review-Q3FY26.pdf,partial
